StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q1,Q0,Q17,Q1,Q2,Q2_6_TEXT,Q2b,Q2b_6_TEXT,Q4,Q4_6_TEXT,Q3,Q3_1_TEXT,Q5,Q6,Q7,Q8,Q8_1_TEXT,Q8_2_TEXT,Q9,Q9_1_TEXT,Q9_2_TEXT,Q10,Q11,Q12,Q22,Random ID
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,"Thank you for choosing to take part in the survey!

In the survey, you will be asked 12 questions regarding your interracial relationship. The purpose of the survey is to assess how interracial relationships differ from intraracial ones. 
All data is anonymous and confidential and you may choose to opt out of the survey at any point.",Please indicate below if you understand and agree to taking this survey:,What is your prolific ID?,Do you and your partner identify as an interracial couple?,What race do you identify as? - Selected Choice,What race do you identify as? - Other - Text,What race does your partner identify as? - Selected Choice,What race does your partner identify as? - Other - Text,"Do you have a racial preference? If so, towards which race(s)? - Selected Choice","Do you have a racial preference? If so, towards which race(s)? - Other - Text",Have there been any times when you have been unintentionally racist towards your partner? - Selected Choice,Have there been any times when you have been unintentionally racist towards your partner? - Yes - please explain - Text,"Rate the extent to which you agree with the following statement: 

I wish my partner and I were the same race","Rate the extent to which you agree with the following statement:

There have been times when I have felt like an outsider to my partner or their family","Rate the extent to which you agree with the following statement: 

I wish my partner and I were the same race",Do you think that being linked to another race has benefits? Why or why not? - Selected Choice,Do you think that being linked to another race has benefits? Why or why not? - Yes - please explain - Text,Do you think that being linked to another race has benefits? Why or why not? - No - please explain - Text,Do you ever feel like you’ve betrayed your own race by dating outside of your own race? Why or why not? - Selected Choice,Do you ever feel like you’ve betrayed your own race by dating outside of your own race? Why or why not? - Yes - explain - Text,Do you ever feel like you’ve betrayed your own race by dating outside of your own race? Why or why not? - No - explain - Text,"Rate the extent to which you agree with the following statement:

It's okay to have a racial fetish--love is love","Rate the extent to which you agree with the following statement:

I want my babies to be mixed race","Rate the extent to which you agree with the following statement:

Interracial sex is better than sex with my own race","Thank you for your time and all of your help! You are now done with the survey



If you are taking this from Prolific, you can now return to this link to properly complete the survey:



https://app.prolific.com/submissions/complete?cc=CD5Y70O5",Random ID
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID1""}","{""ImportId"":""QID15""}","{""ImportId"":""QID31_TEXT""}","{""ImportId"":""QID3""}","{""ImportId"":""QID4""}","{""ImportId"":""QID4_6_TEXT""}","{""ImportId"":""QID17""}","{""ImportId"":""QID17_6_TEXT""}","{""ImportId"":""QID18""}","{""ImportId"":""QID18_6_TEXT""}","{""ImportId"":""QID6""}","{""ImportId"":""QID6_1_TEXT""}","{""ImportId"":""QID8""}","{""ImportId"":""QID24""}","{""ImportId"":""QID26""}","{""ImportId"":""QID10""}","{""ImportId"":""QID10_1_TEXT""}","{""ImportId"":""QID10_2_TEXT""}","{""ImportId"":""QID28""}","{""ImportId"":""QID28_1_TEXT""}","{""ImportId"":""QID28_2_TEXT""}","{""ImportId"":""QID21""}","{""ImportId"":""QID13""}","{""ImportId"":""QID14""}","{""ImportId"":""QID30""}","{""ImportId"":""Random ID""}"
2023-11-30 13:18:19,2023-11-30 13:23:27,0,217.113.231.87,100,308,1,2023-11-30 13:23:28,R_1GuWvB6gohiwbpi,,,,,51.7737,19.4767,anonymous,EN,,1,5cdd7d9f83e768001952c3d6,2,5,,5,,"3,5",,2,,5,1,5,1,"It helps you to be on the same page as your partner - for example, if i were of different race then my partner, then i might have a problem with understanding fully certain problems (like f.e. racism) my better half would experience in her daily life",,2,,I havent dated outside of my race,6,4,4,,50240
2023-11-30 13:19:41,2023-11-30 13:24:17,0,154.127.114.14,94,276,0,2023-11-30 13:36:27,R_3koKWTxThgMNPgd,,,,,,,anonymous,EN,,1,6171b75b3c2b59f8487b4814,1,4,,5,,"2,3,5",,2,,2,5,2,2,,"because as the black person, i am made by outside to look and feel inferior",2,,because we love who we love,6,5,6,,12681
2023-11-30 13:19:06,2023-11-30 13:22:12,0,102.221.1.151,94,185,0,2023-11-30 13:36:27,R_1M5TPJjt9VvP9bP,,,,,,,anonymous,EN,,1,616695954abbd951dd25d153,1,6,Mixed Race South African,4,,7,,2,,1,5,3,1,You learn more about your own self.,,2,,I'm not racially confined.,6,7,4,,30739
2023-11-30 13:19:05,2023-11-30 13:20:57,0,163.117.64.18,94,111,0,2023-11-30 13:36:28,R_1Ein5DUNM7BU3ZV,,,,,,,anonymous,EN,,1,606dfc7748c0f1bccac89e20,2,1,,5,,7,,2,,4,5,4,1,It gives a wider insight into other cultures and experiences.,,2,,"No, race is not important for me.",1,4,4,,78158
2023-11-30 13:18:40,2023-11-30 13:23:49,0,188.6.68.169,94,309,0,2023-11-30 13:36:31,R_YPvhfRd5s1oGP4J,,,,,,,anonymous,EN,,1,60d06b3cf344af8331fc63b0,1,3,,5,,7,,2,,7,3,7,1,"Have more Cutural Benefits
",,2,,"No, i do not think so",6,4,5,,81712
2023-11-30 13:18:54,2023-11-30 13:28:17,0,71.17.144.198,94,563,0,2023-11-30 13:36:32,R_1rj2rcDo4cfh2Vz,,,,,,,anonymous,EN,,1,654e894f03cd0b57072677b7,2,4,,4,,"4,7",,2,,7,1,7,1,"for instance, white folks tend to be more advantageous in every aspects, education, healthcare, etc",,2,,"Although black, 
I am completely indifferent about dating;  Although the race is important , however, the individuals values takes precedence   in my choice for a date , than their race.",4,4,4,,14000
2023-11-30 13:18:59,2023-11-30 13:22:32,0,194.9.53.223,94,213,0,2023-11-30 13:36:36,R_20SUUMeekB7EBmm,,,,,,,anonymous,EN,,1,653fd2aebadbc19b18790edb,1,3,,5,,5,,1,"yes, due to some cultural difference",6,5,7,2,,"It doesn't have any benifits,what matter is if youre happy in the relationship.",2,,I never felt so because you i beleive that i can be betrayed even by the same race.,4,5,2,,62532
2023-11-30 13:18:36,2023-11-30 13:20:49,0,78.8.212.83,94,133,0,2023-11-30 13:36:38,R_1lhlpgpaxvUsCo5,,,,,,,anonymous,EN,,1,5e820b70239c3490a5e6015f,1,5,,3,,7,,1,During sexual intercourse,4,6,4,1,We may exchange views of the world,,2,,Just no,7,4,4,,68005
2023-11-30 13:18:29,2023-11-30 13:21:41,0,189.147.188.39,94,192,0,2023-11-30 13:36:39,R_2YsLCaBAwfr8g8o,,,,,,,anonymous,EN,,1,6156017fbad0983c816fbd7c,2,1,,5,,"1,6",Latina,2,,2,5,2,1,I may pass as white,,2,,"No, I think in any case is the opposite because dating a white/european person indicates higher status (altough I don't believe in this but people believe so)",3,4,4,,76006
2023-11-30 13:18:34,2023-11-30 13:21:30,0,81.207.35.171,94,176,0,2023-11-30 13:36:39,R_1jlbYWuWkXDXB6s,,,,,,,anonymous,EN,,1,642cc97cc8746a0c9b3fd755,1,5,,4,,"1,4",,2,,2,1,1,2,,We're just the same race optimized for different levels of solar exposure.,2,,Why would it be betraying anyone that makes no sense.,2,4,2,,57252
2023-11-30 13:18:38,2023-11-30 13:21:12,0,85.246.129.75,94,154,0,2023-11-30 13:36:39,R_21d2nU7fM07YQv3,,,,,,,anonymous,EN,,1,646f5cb81d01d3447e1caa7f,1,5,,4,,7,,2,,2,2,4,2,,"as a white person, I have a lot of previlege ",2,,race should have nothing to do with who you love,1,4,4,,49589
2023-11-30 13:18:30,2023-11-30 13:23:02,0,41.150.251.15,94,271,0,2023-11-30 13:36:40,R_1OP7E2DC5LePTDk,,,,,,,anonymous,EN,,1,6537c1fa6d8ae9d4bd8d3bee,1,4,,4,,"4,5",,2,,3,5,4,2,,,1,I get viewed as a person who thinks other races are better my own race.,,5,5,7,,73658
2023-11-30 13:18:33,2023-11-30 13:21:48,0,143.159.215.28,94,195,0,2023-11-30 13:36:40,R_3hnpt78wYpoxz6t,,,,,,,anonymous,EN,,1,5f66cd05ac166d1a77c917af,1,5,,1,,"3,5",,2,,1,2,1,2,,race does not change who we are as a person,2,,"this concept makes no sense to begin with, you can't ""betray"" an arbitrary trait, this is a concept thought up by racists",7,4,1,,41857
2023-11-30 13:18:30,2023-11-30 13:23:53,0,37.67.37.201,94,322,0,2023-11-30 13:36:40,R_PLollwXG8ij2L7P,,,,,,,anonymous,EN,,1,6520228e983f9bacccd28433,2,5,,5,,7,,2,,4,3,4,2,,"I think if we love someone there is no race and that understand and learn a different culture, ""race"" could be a really good bond between two partners.",2,,"I don't think I can betray my race. I did date other ""race"" but that didn't change anything in a bad way only in a good way.",3,4,4,,28910
2023-11-30 13:18:14,2023-11-30 13:24:46,0,79.150.36.157,94,391,0,2023-11-30 13:36:41,R_6SGJb1ljVlMi7V7,,,,,,,anonymous,EN,,1,5f68aeffccea510008fc595d,1,5,,4,,7,,1,"He has curly hair and I would love to see him with longer hair so I could maybe braid it, but I can tell he struggles to manage his curly hair and I feel like sometimes I pressured him into keeping it long.",1,5,1,1,"I have learned so much about his culture and his lifestyle which is very different from the one I grew up with. I have tried different foods, and different festivities and learned a lot from him and his family.",,2,,My family has always been very open about me being with different races and ethnicities and I think it is only positive. It broadens my horizons and makes me more considerate.,6,6,3,,59274
2023-11-30 13:18:11,2023-11-30 13:23:17,0,197.184.177.222,94,305,0,2023-11-30 13:36:44,R_2xyp7DJL6PSsRxE,,,,,,,anonymous,EN,,1,5fb665db2bfd3e385beb133d,1,6,Mixed Race,3,,7,,2,,1,6,1,2,,"It doesn't matter what race you are, I have never experienced any benefits.",1,I never felt betrayed at all. My ex-girlfriend however made me feel like I betrayed my own because of her words and lack of understanding. That coupled with the fact that she was a racist,,4,4,4,,67711
2023-11-30 13:18:13,2023-11-30 13:23:17,0,189.174.225.28,94,303,0,2023-11-30 13:36:45,R_33apsZrbXklKtUA,,,,,,,anonymous,EN,,1,614d061aa0abbd89a703844f,1,1,,5,,"1,7",,2,,2,5,2,1,"because its always good to learn and know other cultures ",,2,,even if that were the case i wouldnt mind  what any other person has to say anyways,2,4,4,,31953
2023-11-30 13:18:19,2023-11-30 13:25:21,0,105.214.77.42,94,422,0,2023-11-30 13:36:45,R_3fTeY0USfQHLCay,,,,,,,anonymous,EN,,1,60faef4f671f6d0d1a198881,1,4,,5,,4,,2,,3,5,3,1,You get to interact with people and experience things you wouldn't on a regular basis.,,2,,"I don't fit in with people of my own race to some degree, so It's always been me figuring things out myself.",3,4,4,,94368
2023-11-30 13:18:07,2023-11-30 13:23:18,0,95.239.69.107,94,310,0,2023-11-30 13:36:48,R_3j1cupwyYD5jHWv,,,,,,,anonymous,EN,,1,610ace4933273468b51da78f,2,5,,5,,7,,2,,6,6,6,2,,"I think that in the daily life there are lots of cultural differences that need to be overcomed otherwise it can lead to lots of misunderstandings (I speak more as a European person whose partner is from a different country than mine) ",2,,"I just don't understand how I could ""betray"" my race",3,4,4,,92442
2023-11-30 12:48:17,2023-11-30 12:51:34,0,72.33.2.184,18,196,0,2023-11-30 13:36:50,R_2fAHz421k3wS2Hn,,,,,,,anonymous,EN,,1,,,,,,,,,,,,,,,,,,,,,,,,59668
2023-11-30 13:18:07,2023-11-30 13:20:19,0,80.174.8.222,94,132,0,2023-11-30 13:36:53,R_1oilSA820MmS1zm,,,,,,,anonymous,EN,,1,5ea36a43a2f5032e8af7bc29,2,1,,1,,"1,5",,2,,4,2,2,1,There are certain privileges depending on the race,,2,,I think interracial dating is just fine and it's even better than dating the same race.,6,4,3,,80462
